hex_id,c_lon,c_lat,geometry
380165f83140125c,103.56456,30.26094,"103.56456, 30.26094"
c7c44543ff43fbd6,103.93226,30.60823,"103.93226, 30.60823"
6a11025b41a86c86,103.75878,30.74759,"103.75878, 30.74759"
3519c4c454823872,103.6475,30.62525,"103.6475, 30.62525"
4ce44aeea4ebe436,103.52348,30.67536,"103.52348, 30.67536"
446967350271bf48,103.6016,30.49268,"103.6016, 30.49268"
e07494de61e709a1,103.45199,30.7487,"103.45199, 30.7487"
8f23ea66ed3abe3c,106.52144,29.53325,"106.52144, 29.53325"
9b6f1433de805adf,103.52306,30.4347,"103.52306, 30.4347"
570050cee0259738,103.71272,30.56857,"103.71272, 30.56857"
52e787701818a418,104.11972,30.39798,"104.11972, 30.39798"
517faa6207c13f5c,104.26299,30.5744,"104.26299, 30.5744"
b882749fa821761e,103.62078,31.06306,"103.62078, 31.06306"
39352215a5b697ad,103.8269,30.42295,"103.8269, 30.42295"
f826bb23c6b827b6,103.93594,30.90604,"103.93594, 30.90604"
afdd29734865b454,104.3425,30.49301,"104.3425, 30.49301"
08584f956cdc2bda,103.57325,30.82768,"103.57325, 30.82768"
c04e16503ca62b57,103.5363,30.26265,"103.5363, 30.26265"
fa3d639f5cb76d47,103.75845,30.84022,"103.75845, 30.84022"
ba8217ffc4bb0ca7,103.99932,31.02502,"103.99932, 31.02502"
875b2c51e1437c06,104.68344,31.03671,"104.68344, 31.03671"
9179e3661c6423ab,104.36438,30.82368,"104.36438, 30.82368"
76b4ad9b394d17ae,103.91616,30.48354,"103.91616, 30.48354"
6c564880c7aadfeb,103.37586,30.41372,"103.37586, 30.41372"
a253ea6ae9151722,103.8735,30.46303,"103.8735, 30.46303"
ff860ea331f57ef2,103.95634,30.95788,"103.95634, 30.95788"
9925b2f98ce3a5bc,103.94852,30.64033,"103.94852, 30.64033"
63fed307af3a79b3,103.89904,30.96122,"103.89904, 30.96122"
48070fd151b4e010,103.84306,30.45499,"103.84306, 30.45499"
cbfb354536bc313b,103.9891,30.97586,"103.9891, 30.97586"
5e2081edf45da5c8,104.352,30.81116,"104.352, 30.81116"
c2ed2b91f655e01e,103.77344,30.63102,"103.77344, 30.63102"
c2befe7861a62cb7,103.69698,30.91653,"103.69698, 30.91653"
2a0a5ce5b5f70699,103.5345,30.5395,"103.5345, 30.5395"
3868b177c7084358,103.96232,31.12671,"103.96232, 31.12671"
87fb36ff3ada6aec,104.21628,30.71998,"104.21628, 30.71998"
c157222c95f5e5d0,103.8368,30.51815,"103.8368, 30.51815"
6c8b6c1664c8c75b,103.99955,30.56108,"103.99955, 30.56108"
e54224d3be73a73e,103.80481,31.01964,"103.80481, 31.01964"
3a625fe87eb4593c,104.56884,30.32869,"104.56884, 30.32869"
c8f466345e7cfa85,103.53812,30.60524,"103.53812, 30.60524"
8cbcd894abcb6cfc,103.74444,30.77158,"103.74444, 30.77158"
9166410b4683aa98,103.34418,30.34978,"103.34418, 30.34978"
f2909d2ecb06c621,103.61111,30.96768,"103.61111, 30.96768"
f7de5b6769b92b8b,104.18384,30.88794,"104.18384, 30.88794"
132975406a079270,103.64482,30.75422,"103.64482, 30.75422"
a4f2fca744175b37,103.44438,30.42288,"103.44438, 30.42288"
193b46ab0011736c,103.91818,30.49334,"103.91818, 30.49334"
3d2b6e7ddb977b07,103.54616,30.93163,"103.54616, 30.93163"
85cfd0853b142d85,103.64054,30.40131,"103.64054, 30.40131"
b29528b95ad8ac71,103.37819,30.3774,"103.37819, 30.3774"
1b06d592ccecc815,104.72422,30.50766,"104.72422, 30.50766"
5fdd44d1a92470ac,103.88109,30.73375,"103.88109, 30.73375"
7d012eee2d3143e1,103.54162,31.00459,"103.54162, 31.00459"
17489e791c063ef8,104.00956,31.07421,"104.00956, 31.07421"
d4d825c13d955898,103.78856,30.98745,"103.78856, 30.98745"
22c3ec39bb291433,103.4833,30.90539,"103.4833, 30.90539"
543458ba5110eb4e,103.53918,30.75367,"103.53918, 30.75367"
28819f9890941d29,104.71772,30.70119,"104.71772, 30.70119"
7de4f0068e4e7a13,104.72118,30.62769,"104.72118, 30.62769"
9ce062f29e2eed2d,104.53658,30.71964,"104.53658, 30.71964"
a4daa6c83507b08b,103.33975,30.6166,"103.33975, 30.6166"
f093092c379af3b4,103.79132,30.76554,"103.79132, 30.76554"
23d0431a7e119c29,103.9243,30.47642,"103.9243, 30.47642"
4b80f2769491f57c,103.92145,31.0229,"103.92145, 31.0229"
46e629b9a0743d5a,103.44456,30.13665,"103.44456, 30.13665"
906225cbe2ddcd20,103.42738,30.52925,"103.42738, 30.52925"
d554c2448f248b9e,103.71175,30.79993,"103.71175, 30.79993"
7f6668253d3660c5,103.73736,31.02016,"103.73736, 31.02016"
d336da872bc3a2e5,103.687,30.86749,"103.687, 30.86749"
c5fd34e815793c17,103.78236,30.39267,"103.78236, 30.39267"
5d195d7e9b87d62e,103.85187,31.01365,"103.85187, 31.01365"
a232d421b7e268ee,104.26728,30.64048,"104.26728, 30.64048"
28efc7475294ccd3,104.01995,30.47378,"104.01995, 30.47378"
27087c9c296d3472,104.14092,31.00674,"104.14092, 31.00674"
d7a5d092040e4a89,104.14818,30.34982,"104.14818, 30.34982"
db271459d639dffa,104.2352,30.90142,"104.2352, 30.90142"
0419a4a029b7bb7a,104.67542,30.82054,"104.67542, 30.82054"
b82c212dd5f4a8fe,103.74191,30.90074,"103.74191, 30.90074"
eaff7f7ec55a6dd2,103.97078,30.84102,"103.97078, 30.84102"
44d42b01e6e9499d,103.7867,30.93126,"103.7867, 30.93126"
f7a9e964d6d31cda,103.82076,30.43984,"103.82076, 30.43984"
bdeb5a1c11b0b482,103.82498,31.11792,"103.82498, 31.11792"
629c26c679c16028,103.67724,30.34633,"103.67724, 30.34633"
529dd5d27b611bd8,104.13855,30.76459,"104.13855, 30.76459"
f6a03d9b8206805f,104.12581,30.38104,"104.12581, 30.38104"
94628e6d25218982,104.52238,30.4281,"104.52238, 30.4281"
87f6b30e29bdd5f0,104.28748,30.55294,"104.28748, 30.55294"
2432e17bad75492e,104.06086,30.99487,"104.06086, 30.99487"
b97752fda8f03668,103.84402,30.8816,"103.84402, 30.8816"
b88b495b4a29e5ff,104.12842,30.85478,"104.12842, 30.85478"
e4e5af566e4a39bc,103.38284,30.30476,"103.38284, 30.30476"
ae2a79326f5d6567,103.59356,30.83314,"103.59356, 30.83314"
2ed10f359f0eb57c,104.00978,30.4248,"104.00978, 30.4248"
11506daa7b1c4cc6,104.0342,30.68147,"104.0342, 30.68147"
493e42bf3149ebbd,104.42637,30.4776,"104.42637, 30.4776"
254b50014e29e1ed,104.00556,30.82238,"104.00556, 30.82238"
35bb835cf45a4d44,103.8876,30.53158,"103.8876, 30.53158"
6857d60044e51154,103.77713,30.74321,"103.77713, 30.74321"
0579fdaf7895c105,103.50227,30.80858,"103.50227, 30.80858"
456734e93ac2179d,104.76801,30.35166,"104.76801, 30.35166"
8108b0fe7a5d0f59,103.94403,30.99176,"103.94403, 30.99176"
663f9da178e1c8cf,103.56118,30.48188,"103.56118, 30.48188"
b64a8e9690d5095f,103.99308,31.18138,"103.99308, 31.18138"
643e965a5de887d1,103.61222,30.40302,"103.61222, 30.40302"
8de4882e25caaf1b,103.24962,30.54599,"103.24962, 30.54599"
a317d32d6af342a6,104.32654,30.60022,"104.32654, 30.60022"
d913a1a559ab90c3,103.79906,30.89744,"103.79906, 30.89744"
19b943679bf84c0d,103.6339,30.51055,"103.6339, 30.51055"
0418be22d2823b28,103.70121,30.41743,"103.70121, 30.41743"
f58efa07b5f95620,104.04238,30.72073,"104.04238, 30.72073"
101ef48879c8a933,118.04719,24.49539,"118.04719, 24.49539"
32d8e8e82183ed3f,103.59975,30.81627,"103.59975, 30.81627"
a257781d177b1fa8,104.59419,30.71592,"104.59419, 30.71592"
1cd1d94211f7c8b6,103.8939,30.42212,"103.8939, 30.42212"
e82d2c3c443266c7,103.60922,30.578,"103.60922, 30.578"
2242d4095af8fcf4,103.7002,30.64858,"103.7002, 30.64858"
cfedffdb701f54a7,103.56368,30.73246,"103.56368, 30.73246"
3d767edd49b0dc4d,104.30318,30.94711,"104.30318, 30.94711"
8025eb17ef5acd75,104.33999,30.89166,"104.33999, 30.89166"
63fbd90b1d533d2d,104.13874,30.90394,"104.13874, 30.90394"
b90582dec371a44a,103.81288,31.05895,"103.81288, 31.05895"
9b0467f259fc901b,103.9202,30.50312,"103.9202, 30.50312"
b49990a4713a0c3b,104.59929,30.29011,"104.59929, 30.29011"
8a931b451626d90c,103.63345,30.98296,"103.63345, 30.98296"
cad946f12373b605,104.20976,30.55125,"104.20976, 30.55125"
904c8bd6f34db37f,103.53782,30.65144,"103.53782, 30.65144"
3b6c59bbcd98275f,104.06071,30.5308,"104.06071, 30.5308"
678d3d6b9ffe00f8,104.19531,30.48257,"104.19531, 30.48257"
30c57426c03ce02d,104.51634,30.44511,"104.51634, 30.44511"
62e0decdf8e452fd,103.58871,30.6188,"103.58871, 30.6188"
4b6c122db0edc861,104.28124,30.52349,"104.28124, 30.52349"
67d1db753fbd0b79,104.00974,30.56376,"104.00974, 30.56376"
f9057e42e729d65c,103.52316,30.72158,"103.52316, 30.72158"
53e5f5b4b51656aa,103.92416,30.56902,"103.92416, 30.56902"
a7571f47ea6314b1,104.11372,30.50762,"104.11372, 30.50762"
0de41c4af634c859,104.16674,30.48439,"104.16674, 30.48439"
e5debf84e686ca01,103.65933,31.11058,"103.65933, 31.11058"
a68c60ad868ffe20,103.6848,30.90399,"103.6848, 30.90399"
46c90c25534ab99a,104.07914,30.66546,"104.07914, 30.66546"
0ab6e98df3bef836,104.54291,30.43338,"104.54291, 30.43338"
7b6bd56c2b1a15cc,104.49481,30.61595,"104.49481, 30.61595"
453209d445f3c50a,104.11213,30.96196,"104.11213, 30.96196"
66a9d2ba54eef7f1,103.86515,30.5627,"103.86515, 30.5627"
98377e58be1026c7,104.20553,30.48524,"104.20553, 30.48524"
a8a4a99980580e27,104.52296,30.52107,"104.52296, 30.52107"
8630a34fa7dd69b6,103.81718,30.98582,"103.81718, 30.98582"
2939a339d04c6ff3,103.79704,30.88764,"103.79704, 30.88764"
5061f5bfcf8b9c76,103.76426,30.35088,"103.76426, 30.35088"
7ad95cb0e6af2abc,104.3398,30.84514,"104.3398, 30.84514"
df433a35cb74b757,104.0526,30.72342,"104.0526, 30.72342"
3e35930b0e9c30e2,103.94826,30.87218,"103.94826, 30.87218"
b0e6f58f36f89f1c,103.88376,30.41944,"103.88376, 30.41944"
6c26a6a3ac89afef,104.34647,30.96774,"104.34647, 30.96774"
159ab6861b9726d9,103.61636,30.75586,"103.61636, 30.75586"
009db022602d0c9b,103.8279,30.80309,"103.8279, 30.80309"
a55380943f530c76,103.91384,30.65898,"103.91384, 30.65898"
e4eb30aa14118ad7,104.00562,30.68322,"104.00562, 30.68322"
efcf2f6866f0b2c8,103.92437,30.43014,"103.92437, 30.43014"
b6b87671e6c32f1c,103.57717,30.51391,"103.57717, 30.51391"
7d0ba0e98369f3a9,104.17283,30.46744,"104.17283, 30.46744"
308d4a974339098a,103.67042,30.92796,"103.67042, 30.92796"
d888c6de1819b1f1,103.78082,30.85548,"103.78082, 30.85548"
9124cb733ab97b85,104.6432,30.4034,"104.6432, 30.4034"
0c42bd0f08daa638,104.16042,30.36228,"104.16042, 30.36228"
c5e0cd5df24c7703,104.00764,30.7394,"104.00764, 30.7394"
1776233ddf6f6c2d,104.29179,30.61902,"104.29179, 30.61902"
57b93a3a454e02f7,104.18322,30.56288,"104.18322, 30.56288"
d8a841801743c86f,104.36038,30.85052,"104.36038, 30.85052"
592a6094c301f652,103.9813,30.42659,"103.9813, 30.42659"
d3c080e82820f28e,103.4257,30.23314,"103.4257, 30.23314"
b76aa4e5da8ada65,104.40914,30.30623,"104.40914, 30.30623"
7fe0cd59f4f523a7,105.57456,30.4978,"105.57456, 30.4978"
e0aea3f0075792df,104.42779,30.75653,"104.42779, 30.75653"
1727f254ede96902,103.89381,30.46838,"103.89381, 30.46838"
ecf3e8a57b2f5d82,103.83204,30.77637,"103.83204, 30.77637"
cd75e486e7638ee3,103.57914,30.52368,"103.57914, 30.52368"
fc0fb15214633bc6,103.85804,30.99672,"103.85804, 30.99672"
235b49177649d46b,103.55449,30.25826,"103.55449, 30.25826"
cfeb2c94c67447d6,104.16698,30.62356,"104.16698, 30.62356"
25ee2f1aae923df3,104.54441,30.35026,"104.54441, 30.35026"
c68cddac0845ab64,104.11368,30.46126,"104.11368, 30.46126"
b1612365760b4b37,103.77666,30.88219,"103.77666, 30.88219"
bb8445c372d6f016,103.3662,30.36494,"103.3662, 30.36494"
9a5b9a20899664aa,104.12429,30.83512,"104.12429, 30.83512"
1d4fe748956cee86,104.40511,30.74134,"104.40511, 30.74134"
ccf42146ffa23eb0,104.09984,30.99588,"104.09984, 30.99588"
6850a4c03a6beab8,103.8521,30.92087,"103.8521, 30.92087"
785a9aa1c4b7f746,104.61234,30.66482,"104.61234, 30.66482"
5c74213c7e581a09,104.2771,30.50386,"104.2771, 30.50386"
0d5305dc6a160266,104.28169,30.6628,"104.28169, 30.6628"
41e70789361acb14,103.96268,30.75536,"103.96268, 30.75536"
2f0127c9c8a6e98c,103.43285,30.60472,"103.43285, 30.60472"
34c78ac60230a375,103.70476,31.00212,"103.70476, 31.00212"
b871d91e981d1ac8,104.1408,30.91378,"104.1408, 30.91378"
577aaaeb4849d279,104.26838,30.32547,"104.26838, 30.32547"
d9ad6b8c1fcf89e7,104.58122,30.34114,"104.58122, 30.34114"
637cdf384bc44048,104.33208,30.44394,"104.33208, 30.44394"
267d1e5f3384b982,104.29851,30.7879,"104.29851, 30.7879"
a93572313189f84e,104.0465,30.97249,"104.0465, 30.97249"
b2e269bfcdf92263,103.33992,30.37634,"103.33992, 30.37634"
2afe174cba851fba,104.01985,30.93757,"104.01985, 30.93757"
05c25461c222a174,104.55827,30.27962,"104.55827, 30.27962"
88ce444ed4a3e230,104.37007,30.71366,"104.37007, 30.71366"
c981aadfff0b00ca,104.35634,30.37604,"104.35634, 30.37604"
3b7deb370e1c70c3,104.69786,30.78909,"104.69786, 30.78909"
dd642fb51842f5af,103.60714,30.94805,"103.60714, 30.94805"
9c58adee5d68b3db,104.4531,30.87465,"104.4531, 30.87465"
6084fbdb38929a6f,103.602,30.7798,"103.602, 30.7798"
69b7edd5d5b51d65,104.27502,30.49404,"104.27502, 30.49404"
4054a2e7240f9170,104.69136,31.47702,"104.69136, 31.47702"
f107420048d580c0,104.44082,30.49988,"104.44082, 30.49988"
c8e6ccbd536cedd4,103.71908,30.50546,"103.71908, 30.50546"
09c85b8a83af4fb4,104.48344,30.42736,"104.48344, 30.42736"
355f036c8e557c52,104.28763,30.59938,"104.28763, 30.59938"
adb7bb616c8cc4fb,104.02602,30.73498,"104.02602, 30.73498"
c1385ce2f3cb2ea9,103.9459,31.14092,"103.9459, 31.14092"
891deefcc44eb8e0,103.89793,30.44169,"103.89793, 30.44169"
3c18902aa57426d7,104.68632,30.64665,"104.68632, 30.64665"
196d66830051a867,104.60733,30.8216,"104.60733, 30.8216"
82831c025f203b80,104.70738,30.69854,"104.70738, 30.69854"
4e38dfa6c1019402,104.16864,30.40148,"104.16864, 30.40148"
2593d760a33d90e0,104.09931,30.34634,"104.09931, 30.34634"
83b5ae8b436f75ea,104.73788,31.77876,"104.73788, 31.77876"
a863a7e0fba1f8a8,103.91998,30.64206,"103.91998, 30.64206"
ffb993fb1c92ae77,104.03218,30.39362,"104.03218, 30.39362"
5674838f2ba653e6,103.61316,30.59757,"103.61316, 30.59757"
161d745d27482c81,103.61984,30.48829,"103.61984, 30.48829"
e6e1c4676cad25df,103.50224,30.5216,"103.50224, 30.5216"
a0aecf3970f1e4e7,104.04237,30.62798,"104.04237, 30.62798"
48725c52c3a960e0,103.67438,30.52134,"103.67438, 30.52134"
703eb42940a492a4,104.42452,30.92302,"104.42452, 30.92302"
0f56bd4355091a03,103.92985,30.87658,"103.92985, 30.87658"
6c970de728ac0d07,103.39095,30.2977,"103.39095, 30.2977"
fc3e063de85b99c5,103.44172,30.50536,"103.44172, 30.50536"
04fde9d82aa2e50c,103.75262,30.76449,"103.75262, 30.76449"
d26ed1646d46d2cc,103.87656,30.94595,"103.87656, 30.94595"
3214124f6a920ad1,103.63887,30.72484,"103.63887, 30.72484"
5858aec3b6435991,103.90011,30.35896,"103.90011, 30.35896"
db7f343cf86ab67b,103.49898,30.40978,"103.49898, 30.40978"
5d165179627b9e52,104.24886,30.64495,"104.24886, 30.64495"
0f540c2eee8ac642,103.5207,30.18462,"103.5207, 30.18462"
13cfdc7486dfb9fa,104.50943,30.32274,"104.50943, 30.32274"
0589c129e96b4f19,103.82865,30.52526,"103.82865, 30.52526"
ed7458ccb7605b5c,104.22436,30.6664,"104.22436, 30.6664"
09afea820d3ecf18,104.29756,30.50918,"104.29756, 30.50918"
99a61dbf3b18c71e,104.31454,30.68064,"104.31454, 30.68064"
d3ae88bed9736de1,103.81262,30.44695,"103.81262, 30.44695"
aa60636ee7b3e70b,103.99352,30.39276,"103.99352, 30.39276"
41e2d6b7fc265ed4,103.98913,30.92944,"103.98913, 30.92944"
c0b14452082b0312,103.67397,31.04026,"103.67397, 31.04026"
de2493943e4ae182,103.51328,30.38587,"103.51328, 30.38587"
da61d0dc02e921c7,103.87982,30.35362,"103.87982, 30.35362"
ff611d2636c16033,104.01161,31.08405,"104.01161, 31.08405"
23f3ccf4acf23e24,104.2368,30.72535,"104.2368, 30.72535"
65fa64545eeefb1c,103.77423,30.39978,"103.77423, 30.39978"
e4397e8aba211996,104.01177,30.57357,"104.01177, 30.57357"
d0e84c8ac9a2007f,103.33883,30.27448,"103.33883, 30.27448"
c1adad85006910e2,103.9912,30.89284,"103.9912, 30.89284"
4fc4d5b75d30e71b,103.94655,30.5842,"103.94655, 30.5842"
586c77afd92c4ccb,103.86888,30.72124,"103.86888, 30.72124"
b4357aadf47ab767,104.37074,30.3983,"104.37074, 30.3983"
d7be5128e6c3a1fd,104.12808,30.57628,"104.12808, 30.57628"
c7bb0a6205d169d9,104.07698,30.4702,"104.07698, 30.4702"
6ee298c4a16009ab,104.02192,30.85454,"104.02192, 30.85454"
3d4aa2bf2ca4f222,103.82966,30.90561,"103.82966, 30.90561"
2a5bd3e0e5588823,104.56996,30.78405,"104.56996, 30.78405"
b32145b514c94802,103.42958,30.25264,"103.42958, 30.25264"
4b2793e4cf011a9a,103.89162,30.55117,"103.89162, 30.55117"
8b811cc005ade6dd,103.49606,30.25192,"103.49606, 30.25192"
37970455df8b0b9e,103.61214,30.78252,"103.61214, 30.78252"
3da37510b52480a3,104.74837,31.7815,"104.74837, 31.7815"
2e106291de8526e7,104.32307,30.76644,"104.32307, 30.76644"
a84b6688a060aae8,103.51291,30.14562,"103.51291, 30.14562"
b048af40e6fdfe83,104.24434,30.48607,"104.24434, 30.48607"
29d6879cf561f51e,104.3957,30.9248,"104.3957, 30.9248"
940f7b5c585671a0,104.76972,30.31496,"104.76972, 30.31496"
a82d83b0866ebdf7,104.0936,30.87346,"104.0936, 30.87346"
c8b40d739e2e8dfb,103.73356,30.43526,"103.73356, 30.43526"
db3f9f34ce1fd3e1,104.0098,30.3785,"104.0098, 30.3785"
928a625f5b31446a,104.46242,30.32921,"104.46242, 30.32921"
d660f6b20df1fb1c,104.78228,30.55034,"104.78228, 30.55034"
0048227e6114f9d9,103.83522,31.12066,"103.83522, 31.12066"
bd8a08bb023b2d52,103.91934,31.0595,"103.91934, 31.0595"
a2d8f09283cfc427,103.93618,30.72052,"103.93618, 30.72052"
1af4666b9a13234b,104.57878,30.28486,"104.57878, 30.28486"
c076261fce437600,103.91392,30.61266,"103.91392, 30.61266"
23fae3f1f69dddfa,104.09958,30.67083,"104.09958, 30.67083"
5dc937b5699e1bb7,103.94227,30.74996,"103.94227, 30.74996"
ef9c580952a39dc7,104.85195,30.51232,"104.85195, 30.51232"
a8c4b2ca94cc4e51,103.64717,30.29212,"103.64717, 30.29212"
27e0ef06c999752a,103.56482,30.54762,"103.56482, 30.54762"
02725153ee1ded9d,103.89093,30.92192,"103.89093, 30.92192"
efe409bc727725d5,103.67548,30.29039,"103.67548, 30.29039"
ef07ac4e1e498315,104.356,30.78432,"104.356, 30.78432"
bfb79d8805987e99,104.66377,30.40865,"104.66377, 30.40865"
39a10b2e2eb64518,104.26562,30.77003,"104.26562, 30.77003"
2695226170f3808f,103.52234,30.24046,"103.52234, 30.24046"
0a40b68d4a417106,103.9665,31.05347,"103.9665, 31.05347"
1323753cf078d3f3,104.14865,30.67443,"104.14865, 30.67443"
e651611ccdc3a29b,104.68068,30.71028,"104.68068, 30.71028"
3ce2ab86c9dd4eb8,103.91732,31.04968,"103.91732, 31.04968"
e4f16785534264a2,103.73988,30.37218,"103.73988, 30.37218"
99a23110f742a5dc,103.38202,30.63727,"103.38202, 30.63727"
8f6572159d792928,103.85287,30.5965,"103.85287, 30.5965"
d25c96fe8e0057e4,103.31618,30.54551,"103.31618, 30.54551"
e440f777666ad8f2,104.71045,30.57847,"104.71045, 30.57847"
7e8fbeed731678c7,104.14267,30.78424,"104.14267, 30.78424"
0b86b53e61681fa2,104.0954,30.55845,"104.0954, 30.55845"
59c519019267218d,104.28616,30.77539,"104.28616, 30.77539"
4ecd3a988138ccf8,103.87897,30.77029,"103.87897, 30.77029"
